timestamp, aqi, co, h, no2, o3, pm10, pm25, t
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 17:58:11, 125, 56, 50, 81, 17, 110, 125, 27.3
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 18:39:23, 125, 56, 50, 81, 17, 110, 125, 27.3
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 18:58:13, 125, 56, 50, 81, 17, 110, 125, 27.3
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 19:39:26, 125, 56, 50, 81, 17, 110, 125, 27.3
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 19:58:15, 125, 56, 50, 81, 17, 110, 125, 27.3
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 20:39:28, 125, 56, 50, 81, 17, 110, 125, 27.3
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 20:58:18, 125, 56, 50, 81, 17, 110, 125, 27.3
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 21:39:31, 125, 56, 53, 81, 17, 110, 125, 24.8
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 21:58:20, 125, 56, 53, 81, 17, 110, 125, 24.8
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 22:39:33, 125, 56, 53, 81, 17, 110, 125, 24.8
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 22:58:23, 125, 56, 53, 81, 17, 110, 125, 24.8
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 23:39:36, 125, 56, 60, 81, 17, 110, 125, 22.16
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 23:58:26, 125, 56, 60, 81, 17, 110, 125, 22.16
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 00:39:38, 125, 56, 60, 81, 17, 110, 125, 22.16
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 00:58:28, 125, 56, 60, 81, 17, 110, 125, 22.16
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 01:39:40, 125, 56, 60, 81, 17, 110, 125, 22.16
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 01:58:30, 125, 56, 60, 81, 17, 110, 125, 22.16
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 02:39:43, 125, 56, 60, 81, 17, 110, 125, 22.16
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 02:58:33, 125, 56, 57, 81, 17, 110, 125, 27.27
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 03:39:45, 125, 56, 57, 81, 17, 110, 125, 27.27
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 03:58:36, 125, 56, 57, 81, 17, 110, 125, 27.27
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 04:39:48, 125, 56, 57, 81, 17, 110, 125, 27.27
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 04:58:38, 125, 56, 57, 81, 17, 110, 125, 27.27
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 05:39:50, 125, 56, 57, 81, 17, 110, 125, 27.27
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 05:58:40, 125, 56, 57, 81, 17, 110, 125, 27.27
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 06:39:53, 117, 59, 51, 82, 16, 110, 117, 32.24
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 06:58:43, 117, 59, 51, 82, 16, 110, 117, 32.24
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 07:39:55, 116, 58, 51, 82, 18, 110, 116, 32.24
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 07:58:46, 116, 58, 51, 82, 18, 110, 116, 32.24
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 08:39:58, 116, 58, 51, 82, 18, 110, 116, 32.24
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-05 08:58:48, 116, 58, 46, 81, 18, 110, 116, 32.52
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
