timestamp, aqi, co, h, no2, o3, pm10, pm25, t
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 07:37:58, 45, 44, 56, 34, 28, 45, 40, 31.08
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 07:56:44, 45, 44, 56, 34, 29, 45, 40, 31.08
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 08:38:01, 45, 44, 56, 34, 29, 45, 40, 31.08
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 08:56:47, 45, 44, 54, 34, 30, 45, 40, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 09:38:03, 45, 44, 54, 34, 30, 45, 40, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 09:56:49, 45, 44, 54, 34, 30, 45, 40, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 10:38:06, 44, 43, 54, 34, 31, 44, 40, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 10:56:52, 44, 43, 54, 34, 31, 44, 40, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 11:38:08, 44, 43, 54, 34, 31, 44, 40, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 11:56:54, 44, 43, 54, 34, 31, 44, 40, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 12:38:11, 44, 43, 53, 34, 31, 44, 40, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 12:56:57, 44, 43, 53, 34, 31, 44, 40, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 13:38:14, 44, 43, 53, 34, 31, 44, 40, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 13:56:59, 44, 43, 53, 34, 31, 44, 40, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 14:38:16, 44, 43, 53, 34, 31, 44, 40, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 14:57:02, 44, 43, 53, 34, 31, 44, 40, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 15:38:19, 44, 43, 53, 34, 31, 44, 40, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 15:57:04, 44, 43, 53, 34, 31, 44, 40, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 16:38:21, 44, 43, 53, 34, 31, 44, 40, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 16:57:06, 44, 43, 53, 34, 31, 44, 40, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 17:38:24, 44, 43, 53, 34, 31, 44, 40, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 17:57:09, 44, 43, 55, 34, 31, 44, 40, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 18:38:26, 44, 43, 55, 34, 31, 44, 40, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 18:57:11, 44, 43, 55, 34, 31, 44, 40, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 19:38:29, 44, 43, 55, 34, 31, 44, 40, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 19:57:13, 44, 43, 55, 34, 31, 44, 40, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 20:38:31, 44, 43, 55, 34, 31, 44, 40, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 20:57:16, 44, 43, 55, 34, 31, 44, 40, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 21:38:34, 44, 43, 68, 34, 31, 44, 40, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 21:57:18, 44, 43, 68, 34, 31, 44, 40, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 22:38:37, 44, 43, 68, 34, 31, 44, 40, 23.85
